#timebase=-294967296(ps)
,#voltbase=2000000(mv/100)
#size=4164
2.00E-05,3.280
4.00E-05,3.440
6.00E-05,3.280
8.00E-05,3.280
1.00E-04,3.360
1.20E-04,3.440
1.40E-04,3.280
1.60E-04,3.280
1.80E-04,3.280
2.00E-04,3.280
2.20E-04,3.280
2.40E-04,3.360
2.60E-04,3.440
2.80E-04,3.280
3.00E-04,3.360
3.20E-04,3.280
3.40E-04,3.360
3.60E-04,3.280
3.80E-04,3.280
4.00E-04,3.280
4.20E-04,3.360
4.40E-04,3.440
4.60E-04,3.440
4.80E-04,3.280
5.00E-04,3.360
5.20E-04,3.440
5.40E-04,3.360
5.60E-04,3.360
5.80E-04,3.280
6.00E-04,3.280
6.20E-04,3.280
6.40E-04,3.360
6.60E-04,3.360
6.80E-04,3.280
7.00E-04,3.280
7.20E-04,3.360
7.40E-04,3.440
7.60E-04,3.360
7.80E-04,3.280
8.00E-04,3.280
8.20E-04,3.360
8.40E-04,3.360
8.60E-04,3.280
8.80E-04,3.360
9.00E-04,3.360
9.20E-04,3.360
9.40E-04,3.280
9.60E-04,3.360
9.80E-04,3.360
1.00E-03,3.360
1.02E-03,3.280
1.04E-03,3.360
1.06E-03,3.360
1.08E-03,3.280
1.10E-03,3.280
1.12E-03,3.360
1.14E-03,3.360
1.16E-03,3.280
1.18E-03,3.360
1.20E-03,3.360
1.22E-03,3.280
1.24E-03,3.360
1.26E-03,3.280
1.28E-03,3.360
1.30E-03,3.360
1.32E-03,3.280
1.34E-03,3.360
1.36E-03,3.360
1.38E-03,3.360
1.40E-03,3.280
1.42E-03,3.280
1.44E-03,3.440
1.46E-03,3.360
1.48E-03,3.360
1.50E-03,3.360
1.52E-03,3.360
1.54E-03,3.360
1.56E-03,3.280
1.58E-03,3.360
1.60E-03,3.360
1.62E-03,3.280
1.64E-03,3.280
1.66E-03,3.280
1.68E-03,3.280
1.70E-03,3.280
1.72E-03,3.280
1.74E-03,3.440
1.76E-03,3.280
1.78E-03,3.360
1.80E-03,3.360
1.82E-03,3.280
1.84E-03,3.280
1.86E-03,3.280
1.88E-03,3.280
1.90E-03,3.280
1.92E-03,3.280
1.94E-03,3.360
1.96E-03,3.280
1.98E-03,3.280
2.00E-03,3.360
2.02E-03,3.360
2.04E-03,3.360
2.06E-03,3.280
2.08E-03,3.280
2.10E-03,3.360
